CASE NUMBER,CITY,ZIP,MONTH,YEAR,DISPO TYPE,ANSWER,MONEY JUDGMENT,DEFAULT
37-2021-00036681-CU-UD-CTL,San Diego,92113,8,2021,Court-ordered dismissal,N,N,Y
37-2021-00036930-CU-UD-CTL,San Diego,92154,8,2021,Court finding,Y,N,N
37-2021-00038682-CU-UD-CTL,RANCHO SANTA FE,92067,9,2021,Request for Dismissal,N,N,N
37-2021-00041147-CU-UD-CTL,La Jolla,92037,9,2021,Default judgment by clerk,N,N,Y
37-2021-00043236-CU-UD-CTL,San Diego,92114,10,2021,Court finding,Y,N,N
37-2021-00043538-CU-UD-CTL,San Diego,92109,10,2021,Request for Dismissal,Y,N,N
37-2021-00045381-CU-UD-CTL,Vista,92081,10,2021,Request for Dismissal,N,N,N
37-2021-00048148-CU-UD-CTL,San Diego,92117,11,2021,Default judgment by court,N,N,Y
37-2021-00048381-CU-UD-CTL,Chula Vista,91913,11,2021,Default judgment by court,N,N,Y
37-2021-00051064-CU-UD-CTL,San Marcos,92069,12,2021,Request for Dismissal,N,N,N
37-2021-00051643-CU-UD-CTL,La Mesa,91942,12,2021,Request for Dismissal,N,N,N
37-2021-00051650-CU-UD-CTL,San Diego,92123,12,2021,Request for Dismissal,N,N,N
37-2021-00052639-CU-UD-CTL,San Diego,92105,12,2021,Request for Dismissal,Y,N,N
37-2021-00053806-CU-UD-CTL,Rancho Santa Fe,92067,12,2021,Stipulated judgment,Y,N,N
37-2021-00055006-CU-UD-CTL,La Jolla,92037,12,2021,Default judgment by clerk,N,N,Y
37-2022-00002188-CU-UD-CTL,Encinitas,92024,1,2022,Default judgment by court,N,N,Y
37-2022-00003613-CU-UD-CTL,San Diego,92130,1,2022,,N,N,Y
37-2022-00004433-CU-UD-CTL,SAN MARCOS,92078,2,2022,,N,N,N
37-2022-00004451-CU-UD-CTL,SAN MARCOS,92078,2,2022,Request for Dismissal,N,N,N
37-2022-00004892-CU-UD-CTL,San Diego,92101,2,2022,Default judgment by court,N,N,Y
37-2022-00005637-CU-UD-CTL,El Cajon,92021,2,2022,Court-ordered dismissal,N,N,N
37-2022-00007004-CU-UD-CTL,Lakeside,92040,2,2022,Request for Dismissal,N,N,N
37-2022-00008895-CU-UD-CTL,El Cajon,92021,3,2022,Court finding,Y,Y,N
37-2022-00009028-CU-UD-CTL,La Jolla,92037,3,2022,Default judgment by court,N,N,Y
37-2022-00010451-CU-UD-CTL,Vista,92081,3,2022,Stipulated judgment,Y,N,N
37-2022-00019870-CU-UD-CTL,La Jolla,92037,5,2022,Consolidated,Y,N,N
37-2022-00020109-CU-UD-CTL,Chula Vista,91914,5,2022,Request for Dismissal,N,N,N
37-2022-00022336-CU-UD-CTL,Oceanside,92058,6,2022,Default judgment by court,Y,N,N
37-2022-00024764-CU-UD-CTL,San Diego,92154,6,2022,Summary judgment,Y,N,N
37-2022-00025578-CU-UD-CTL,Jamul,91935,6,2022,Request for Dismissal,Y,N,N
37-2022-00027446-CU-UD-CTL,San Diego,92124,7,2022,,N,N,N
37-2022-00028284-CU-UD-CTL,San Diego,92101,7,2022,Default judgment by clerk,N,N,Y
37-2022-00033502-CU-UD-CTL,San Diego,92122,8,2022,Request for Dismissal,Y,N,N
37-2022-00033528-CU-UD-CTL,Chula Vista,91915,8,2022,,N,N,N
37-2022-00034341-CU-UD-CTL,San Diego,92126,8,2022,,N,N,N
37-2022-00034444-CU-UD-CTL,Oceanside,92054,8,2022,,Y,N,N
37-2022-00034451-CU-UD-CTL,San Diego,92126,8,2022,Stipulated judgment,Y,Y,N
37-2022-00034691-CU-UD-CTL,San Diego,92101,8,2022,Request for Dismissal,N,N,N
37-2022-00034881-CU-UD-CTL,San Diego,92122,8,2022,,Y,N,N
37-2022-00034991-CU-UD-CTL,San Diego,92101,8,2022,Request for Dismissal,N,N,N
37-2022-00035129-CU-UD-CTL,San Diego,92108,8,2022,,N,N,N
37-2022-00035133-CU-UD-CTL,Vista,92081,8,2022,Request for Dismissal,Y,N,N
37-2022-00035258-CU-UD-CTL,SAN MARCOS,92078,9,2022,Default judgment by clerk,N,N,Y
37-2022-00035261-CU-UD-CTL,SAN MARCOS,92078,9,2022,Default judgment by clerk,N,N,Y
37-2022-00035401-CU-UD-CTL,San Diego,92101,9,2022,,N,N,N
37-2022-00035669-CU-UD-CTL,San Diego,92078,9,2022,,N,N,N
37-2022-00035741-CU-UD-CTL,San Diego,92101,9,2022,,N,N,N
37-2022-00037715-CU-UD-CTL,San Diego,92120,9,2022,Request for Dismissal,N,N,N
37-2022-00037734-CU-UD-CTL,Escondido,92025,9,2022,,N,N,N
37-2022-00039236-CU-UD-CTL,San Diego,92154,9,2022,,N,N,N
37-2022-00039240-CU-UD-CTL,Escondido,92025,9,2022,,N,N,N
37-2022-00039260-CU-UD-CTL,San Diego,92110,10,2022,,N,N,N
37-2022-00039267-CU-UD-CTL,Vista,92083,10,2022,,Y,N,N
37-2022-00039272-CU-UD-CTL,San Diego,92110,10,2022,,N,N,N
37-2022-00039277-CU-UD-CTL,San Diego,92108,10,2022,,N,N,N
37-2022-00041401-CU-UD-CTL,SAN MARCOS,92078,10,2022,,N,N,N
37-2022-00041563-CU-UD-CTL,FALLBROOK,92028,10,2022,,N,N,N
37-2022-00041836-CU-UD-CTL,San Diego,92110,10,2022,,Y,N,N
37-2022-00042082-CU-UD-CTL,San Diego,92122,10,2022,,N,N,N
37-2022-00042720-CU-UD-CTL,Spring Valley,91977,10,2022,,N,N,N
37-2022-00042750-CU-UD-CTL,National City,91950,10,2022,,N,N,N
37-2022-00042756-CU-UD-CTL,Poway,92064,10,2022,,Y,N,N
37-2022-00042760-CU-UD-CTL,Chula Vista,91915,10,2022,,N,N,N
37-2022-00042764-CU-UD-CTL,San Diego,92101,10,2022,,N,N,N
37-2022-00043435-CU-UD-CTL,Escondido,92025,10,2022,,Y,N,N
37-2022-00043444-CU-UD-CTL,Carlsbad,92008,10,2022,,Y,N,N
37-2022-00043636-CU-UD-CTL,San Diego,92106,10,2022,,N,N,N
37-2022-00043638-CU-UD-CTL,San Diego,92106,10,2022,,Y,N,N
37-2022-00043772-CU-UD-CTL,San Diego,92101,10,2022,,N,N,N
37-2022-00043884-CU-UD-CTL,Escondido,92027,10,2022,,Y,N,N
37-2022-00044967-CU-UD-CTL,Oceanside,92056,11,2022,,N,N,N
37-2022-00045114-CU-UD-CTL,San Marcos,92069,11,2022,,Y,N,N
37-2022-00045136-CU-UD-CTL,Spring Valley,91978,11,2022,,N,N,N
37-2022-00047632-CU-UD-CTL,San Diego,92120,11,2022,,N,N,N
37-2022-00047637-CU-UD-CTL,San Diego,92111,11,2022,,N,N,N
37-2022-00048049-CU-UD-CTL,San Diego,92131,11,2022,,Y,N,N
37-2022-00048707-CU-UD-CTL,San Diego,92101,12,2022,,N,N,N
37-2022-00048892-CU-UD-CTL,San Diego,92124,12,2022,,N,N,N
37-2022-00048897-CU-UD-CTL,San Diego,92124,12,2022,Request for Dismissal,N,N,N
37-2022-00048948-CU-UD-CTL,San Diego,92124,12,2022,,Y,N,N
37-2022-00048955-CU-UD-CTL,Escondido,92026,12,2022,,N,N,N
37-2022-00049106-CU-UD-CTL,San Diego,92108,12,2022,,Y,N,N
37-2022-00049120-CU-UD-CTL,San Diego,92124,12,2022,Request for Dismissal,N,N,N
37-2022-00049282-CU-UD-CTL,San Diego,92101,12,2022,,N,N,N
37-2022-00049285-CU-UD-CTL,San Diego,92122,12,2022,,Y,N,N
37-2022-00050451-CU-UD-CTL,San Marcos,92078,12,2022,,Y,N,N
37-2022-00050454-CU-UD-CTL,Chula Vista,91910,12,2022,,N,N,N
37-2022-00050457-CU-UD-CTL,San Diego,92126,12,2022,,N,N,N
37-2022-00051758-CU-UD-CTL,San Diego,92113,12,2022,,N,N,N
37-2022-00051881-CU-UD-CTL,San Diego,92101,12,2022,,N,N,N
37-2022-00051913-CU-UD-CTL,La Mesa,91942,12,2022,Request for Dismissal,N,N,N
37-2022-00051961-CU-UD-CTL,Encinitas,92024,12,2022,,N,N,N
37-2022-00051977-CU-UD-CTL,La Mesa,91942,12,2022,,N,N,N
37-2022-00052006-CU-UD-CTL,SAN DIEGO,92114,12,2022,,N,N,N
